NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.7165
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.2872
	
	
	
PGIM India Banking and PSU Debt fund - Bonus	13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend	10.4099
PGIM India Banking and PSU Debt fund - Monthly Dividend	10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus	11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend	10.6429
PGIM India Banking and PSU Debt Fund - Regular Dividend	10.3897
PGIM India Banking and PSU Debt fund - Weekly Dividend	10.2735
PGIM India Banking and PSU Debt fund -Growth	21.2587
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus	13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus	15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend	11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend	10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend	10.7114
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend	10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth	22.2873
	
	
	
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1263.2907
SBI BANKING & PSU FUND - Direct Plan - Growth	2868.0332
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1225.7094
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1260.4833
SBI BANKING & PSU FUND - Regular Paln - Growth	2720.6813
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1241.2507
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1164.5652
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1240.9873
	
	
	
Sundaram Banking & PSU Debt Fund - Direct Growth	11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth	11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend	11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus	18.9410
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2255
Sundaram Banking and PSU Debt Fund Direct Plan - Growth	37.8617
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5792
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus	18.8725
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3504
Sundaram Banking and PSU Debt Fund Regular Plan - Growth	37.4253
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.6311
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1089
Sundaram Banking and PSU Debt Fund Retail Plan - Growth	33.7281
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5355
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment	11.6582
	
	
	
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option 	12.7884
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.7884
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	12.5387
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.5387
Tata Banking & PSU Debt Fund-Direct Plan-Growth	12.7884
Tata Banking & PSU Debt Fund-Regular Plan-Growth	12.5387
	
	
	
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH	1126.4283
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH	1111.7553
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1054.7998
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1129.8046
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1044.6025
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1059.8271
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1035.0196
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1040.4903
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1114.3201
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1035.826
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1046.6573
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1028.8033
	
	
	
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW	12.3568
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW	16.6981
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option	19.3774
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW	12.8584
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	12.679
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW	14.4224
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW	12.2004
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW	12.8345
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW	12.7809
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	12.5409
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW	13.134
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option	19.1388
	
	
	
	
	
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	99.0791
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	97.7406
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	11.2853
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.5163
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.7165
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.368
Aditya Birla Sun Life Income Fund-Plan A(Dividend)	11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend)	10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth)	35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend)	15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth)	35.0763
	
	
	
Axis Corporate Debt Fund - Direct Plan - Daily IDCW	10.2286
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW	10.2358
Axis Corporate Debt Fund - Direct Plan - Regular IDCW	13.1681
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW	10.3784
Axis Corporate Debt Fund - Direct Plan Growth	15.5180
Axis Corporate Debt Fund - Regular Plan - Daily IDCW	10.2283
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW	10.2293
Axis Corporate Debt Fund - Regular Plan - Regular IDCW	12.5065
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW	10.2595
Axis Corporate Debt Fund - Regular Plan Growth	14.8190
	
	
	
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5004
BANDHAN Corporate Bond Fund - Direct Growth	17.1694
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.7419
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3663
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	11.3909
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.5167
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.4822
BANDHAN Corporate Bond Fund - Regular Growth	16.7686
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.1164
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6191
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	11.3042
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.5561
	
	
	
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	10.6401
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	27.5009
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.1721
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.2852
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	10.8202
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	25.1019
